"","s0"
"(Intercept)",0.474828471390583
"(Intercept)",1
"abil",1
"abl",1
"absolut",1
"absurd",0.502922145713986
"acc",0.799027010684143
"accept",1
"access",1
"accid",1
"accident",1
"accomplish",2.52430184941304
"accord",1
"account",1
"achiev",1
"acknowledg",1
"across",1
"act",1
"action",1
"activ",1.8607153723194
"actual",1
"add",1
"addict",7.33764328206219
"addit",1.57749629948923
"address",1
"adhd",1
"adjust",1
"ador",1
"advanc",1
"adveis",0.811651669305104
"advic",1
"advis",1
"affect",1
"afford",1
"afterday",1
"age",1
"agenda",2.39388886856997
"aggrav",1
"ago",1
"alarm",0.877054901342076
"ale",1
"alexa",0.961188941784804
"allow",0.725064186776103
"almost",0.632864431933633
"alon",1
"along",1
"alot",1
"alreadi",0.799752074038571
"alright",1.11145451307307
"also",1
"altern",1
"although",1
"alway",0.946370589236153
"amaz",4.49043373638656
"amend",1.18784698477282
"amin",1
"amount",0.979414082755379
"analog",1
"andor",1
"android",1
"anim",1
"announc",1
"annoy",1
"anoth",0.884993679471587
"answer",1
"anydo",1
"anymor",1
"anyon",1
"anyth",0.573562668568995
"anytim",1
"anyway",1
"anywher",1
"apa",1
"app",0.923264783183463
"appar",1
"appbut",1
"appeal",1.23574135520265
"appear",1
"appi",1
"appit",1
"appl",1
"applic",1.67041689478982
"appoint",1
"appreci",1
"approach",1
"appstar",1
"area",1
"arent",0.712780205213525
"around",1
"arrang",1
"asap",0.61433970307206
"asid",2.43068262279239
"ask",1
"aspect",1
"asset",1
"assign",1
"assist",1
"associ",1
"astar",1
"atleast",0.772979490765526
"attempt",0.722156808906648
"attent",1
"attract",1
"audio",1
"auto",1
"automat",1
"avail",0.736872007234299
"away",1
"awesom",1.52233806973526
"ayear",0.994574327987386
"back",1
"background",1
"bad",0.689490660375471
"bank",1
"bar",1
"bare",1
"base",1
"basic",0.719570266554092
"batteri",1
"beauti",1
"becam",1
"becom",1
"beep",1
"beg",1
"begin",1
"behaviour",1
"behind",1
"believ",1
"benefit",1
"besid",1
"best",4.08390770058516
"bestar",1
"beta",1
"better",1
"beyond",1
"big",0.567021883984184
"bihday",1
"bill",1
"bit",1
"bite",1
"black",1
"blacklist",1
"bland",1
"blank",4.91228612351633
"block",1
"blue",1
"boost",1
"booster",1
"bore",1
"bot",0.685405392631534
"bother",0.865595869078917
"bottom",1
"bought",1
"box",1
"`break`",1
"bright",1
"brilliant",3.23270014339613
"bring",1
"broke",1
"broken",1
"brought",1
"browser",1
"budget",1
"bug",1
"buggi",1
"build",1
"bummer",1
"bunch",1
"bush",1
"busi",1
"button",1
"buy",1
"bypass",1
"cach",1
"cal",1
"caland",1
"calcul",1
"calend",1
"calendar",1
"call",1
"calm",1
"came",1
"can",1.14056705240012
"cancel",1
"cant",0.768023973039883
"card",0.927628233039031
"care",1
"case",0.319442410850087
"cash",1
"cat",1
"catch",1
"categor",1
"categori",1
"caus",2.76919555910188
"ceain",1
"censorship",1
"challeng",1
"chanc",1
"chang",0.793603939679133
"channel",0.227112014407277
"charg",1
"chat",2.19152222684879
"cheap",1
"cheaper",1
"check",0.788022462774355
"checklist",1
"children",1.35695275312144
"choic",1
"choos",1
"chore",1
"chose",1
"christma",1
"chrome",1
"chronolog",0.71982598575928
"circl",1
"claim",1
"class",0.706989022410695
"clean",1
"clear",1
"click",1
"client",1
"clock",0.222185552147185
"close",1
"cloud",1
"clue",1
"clunki",1
"clutter",1
"code",1
"coin",1
"collabor",0.960789727647049
"collect",1
"colleg",1
"color",1
"colour",1
"combin",1.5302329033081
"come",1
"comfoabl",1.34687487242779
"comment",1
"common",1
"compani",1
"companion",1
"compar",0.730793746657903
"complain",1.47647736138468
"complaint",1
"complet",1
"complex",1
"complic",0.535028586512822
"compromis",1
"comput",2.08903481208525
"concentr",1.80026223197868
"concept",1
"concern",1
"confid",1
"confirm",1
"confus",1
"connect",1
"consequ",1
"consid",1
"consider",1
"consist",1
"constant",1
"consult",1
"contact",1
"contain",1
"content",0.746548438509932
"continu",1
"contribut",1
"control",1
"conveni",1
"cool",1
"coordin",2.12743863614
"copi",1
"core",1
"correct",1
"cost",0.899910377350601
"couldnt",1
"couldv",0.800330292930161
"count",1
"countdown",1
"counter",1
"countri",1
"coupl",1
"cours",1
"covid",1
"crash",0.983795649302319
"creat",1
"creativ",2.7512266876409
"creator",1
"credit",1
"critic",1
"cross",0.617474202602961
"crucial",1
"cumbersom",1
"currenc",1
"current",1
"custom",1
"customis",0.859843365626674
"customiz",1
"cute",1
"cuz",1
"daili",1.08156204789703
"dailyweeklymonth",1
"dark",1.55920540692038
"data",1
"date",0.787759769669804
"datetim",1
"day",1
"deal",1
"dealbreak",1
"debit",0.824952446740929
"deceiv",1
"decemb",1
"decent",1
"decept",1
"decid",1
"decis",1
"deduct",1
"deep",1
"default",1
"defeat",1
"definit",1.04562103031658
"delet",0.672835704562756
"depend",1
"describ",1
"descript",1
"deserv",1
"design",1
"desir",1
"desktop",0.861484416353593
"despit",0.61357917049691
"destroy",0.762142549212248
"detail",1
"dev",1
"develop",1
"devic",1
"didnt",1
"die",1
"differ",1
"difficult",0.493941733090287
"difficulti",1
"direct",1
"disabl",1
"disappear",1
"disappoint",0.43714661940953
"discard",1
"disciplin",1.39415299807007
"disconnect",1
"discount",1
"discourag",1
"discov",1
"disgust",1
"dislik",0.873080208248684
"dismiss",1
"display",1.31756468854581
"dissapoint",1
"distract",1.93647829699958
"disturb",1
"doesnt",0.827886921555282
"dollar",0.792236802546728
"donat",1
"done",1.8314350107765
"dont",0.747458358257842
"dot",1.67998883035569
"doubl",1
"downgrad",1
"download",1.00342680479674
"drag",1
"drain",1.63810782069094
"drastic",1
"draw",1
"drive",0.838316735869211
"drop",1
"due",1
"duplic",1
"durat",1
"earli",1
"earlier",1
"earn",1
"eas",1.64030000705407
"easi",3.32693339047382
"easier",1
"easili",1
"edg",1
"edit",1
"effect",1
"effici",1
"effo",1
"either",1
"elimin",1
"elixir",1
"els",1
"elsewher",1
"email",1
"emerg",1
"empti",1.36331458623467
"enabl",1
"encount",0.583165324426692
"encourag",3.19537052098468
"end",0.552145863934801
"engin",0.536665262495774
"enjoy",1
"enough",1
"ensur",1.11935281571518
"enter",1
"entir",1
"entri",1.89475642907567
"eras",1
"error",1
"especi",1
"essenti",1
"etc",1
"etci",1
"even",0.742071004088837
"event",1
"ever",1
"everi",1
"everyday",1
"everymin",1
"everyon",1
"everyth",1
"everytim",1
"exact",1
"exam",1.31901824918666
"exampl",1
"exceed",1
"excel",3.48650820898742
"except",1
"exchang",1
"excit",1
"exclud",1
"exclus",1
"excus",1
"exist",1
"exit",1
"expect",1
"expens",0.690519329396746
"experi",1
"experienc",1
"explain",1
"expo",3.50466431507198
"extens",1
"extra",1
"extrem",1
"eye",1
"face",1
"facebook",1
"fact",1
"factor",1
"fail",1
"fair",0.482257919833139
"famili",1.01870634017799
"fan",1
"fanci",1
"fantast",1.66424573956326
"far",1.04799902503335
"fast",1.35425574128538
"faster",1
"father",1
"fault",1
"fav",1
"favorit",1
"favourit",0.856580073960136
"featur",1
"fee",1
"feedback",0.942326528624995
"feel",2.19386665782181
"fellow",1
"felt",1
"field",1
"figur",0.995193385980909
"file",1
"fill",1.00087472961569
"final",1
"find",1
"fine",1
"finger",1
"finish",1.59154526780453
"first",1
"fit",0.904137192774385
"five",14.3195775037187
"fix",0.86987850301803
"flaw",1
"flawless",1.93442556666338
"flexibl",4.33814438278192
"fluid",1
"focus",1.17894262207215
"folder",1
"follow",1
"font",1
"forc",1
"forest",1
"forev",0.518117857851696
"forget",1
"forgot",1
"forhour",1
"format",1
"forminut",1
"forward",1.49761389100359
"foryear",1
"founat",1
"found",1
"four",1
"free",1
"freeli",1
"freez",1
"frequent",1
"friday",1
"friend",1
"frustrat",0.553226341367369
"full",1
"fulli",1
"fun",1
"`function`",1
"futur",1
"gain",0.764494932994281
"galaxi",1
"game",1
"garbag",1
"garden",1
"gave",1
"gavestar",1
"general",1
"generat",1
"generic",1
"genuin",1
"get",0.839043276091754
"give",1
"given",0.395798592471007
"givestar",1
"glad",4.05269228815183
"glitch",0.815807576907523
"global",1.61155681446217
"gmail",1
"goal",2.55904445526629
"god",1
"goe",1
"gone",0.522702851706485
"gonna",1.28124881005692
"good",1.35529597676191
"goodbut",1
"googl",1
"got",1
"gotten",1
"gottre",1
"grab",1
"grant",1
"graph",1
"graphic",1
"grate",1
"gray",1
"great",3.41588017066665
"greed",1
"grid",1
"gripe",1
"groceri",1
"ground",1.49673620857905
"group",1
"grow",1
"grown",1
"growth",12.6636709312991
"gtd",1
"guardian",0.283091382085615
"guess",1
"guy",1
"habit",1
"half",0.728515181723292
"hand",1
"handi",1
"handl",1
"hang",1
"hangout",1.87784023437909
"happen",1
"happi",1
"hard",1
"harder",1
"hasnt",1
"hassl",1
"hate",1
"havent",1
"hea",1
"head",1
"hear",1
"heard",1
"heck",1
"hell",1
"help",1.17481801439139
"hey",0.605387360722293
"hid",1
"hide",1
"hierarchi",1.69127413502787
"high",2.71383091401204
"higher",1
"highlight",1.54346815557
"histori",1
"hit",1
"home",1
"homescreen",0.971317875720651
"homework",3.29752681045308
"honest",1.48122456435686
"hope",1
"horribl",0.292241850202354
"hour",1
"howev",1
"huge",1
"human",1
"husband",1
"iam",1
"icon",1
"idea",0.69423247168434
"ideal",1
"idk",1
"ignor",1
"ill",1
"imag",1
"immedi",1
"impact",1
"implement",1
"impo",1
"impoant",1
"imposs",0.38358940448392
"impress",1
"improv",1
"inaccess",1
"incent",1
"includ",1
"incomplet",2.25574128207936
"inconveni",1
"increas",1.59111421621891
"incred",1
"independ",1
"indian",1
"indic",2.30375284515599
"individu",1
"info",1
"inform",3.11551744925168
"ingam",1
"initi",1
"input",1
"insid",1
"inspir",1
"instagram",1
"instal",1
"instanc",1
"instant",1
"instead",1
"integr",2.01039869431655
"intend",1
"intent",1
"interact",1
"interest",1
"interfac",1
"interrupt",0.925770760805286
"interv",1
"introduc",1
"intrus",1
"intuit",0.735647753704042
"investig",1
"invit",1
"irrit",0.429402217870969
"isminut",1
"isnt",0.948507295849985
"issu",1
"itd",1.03359667394994
"item",0.692979329241542
"iti",1
"itit",1.70216270009379
"itll",1
"itstar",1
"ive",1
"job",1
"join",1.49759922794159
"jump",1
"just",1
"justifi",1
"keep",1
"kept",1
"kid",1
"kill",1
"kind",1
"kinda",1
"know",1
"label",1
"lack",1
"lag",0.863255824213529
"laggi",1
"laid",1
"landscap",1.22350650559798
"languag",1.8906085797984
"laptop",1
"larg",1
"larger",1
"last",1
"lastmonth",1
"late",1
"later",1
"latest",1
"launch",1
"layout",1
"learn",1
"least",1.54799565050724
"leav",1
"left",0.738350285677539
"length",1
"less",1
"let",1
"level",1
"lie",1
"life",1
"like",1
"limit",0.72923726107727
"link",1
"list",1
"listen",0.543373943825332
"liter",1
"littl",1
"live",1
"load",1
"local",1
"locat",1
"lock",1
"log",1
"logic",1
"login",0.929478925100666
"lol",1
"long",1
"longer",0.824024354788066
"look",0.373807247375007
"loos",1
"lose",1
"loss",1
"lost",0.468203647132044
"lot",1
"loud",1
"love",2.19392110416985
"low",1
"loyal",1
"loyalti",0.988908167374718
"luck",1
"lush",1
"made",0.996992971998551
"magic",1
"mail",0.814450599192108
"main",1
"major",1
"make",1
"man",1
"manag",1.16857977094659
"mandatori",1
"mani",1
"manipul",1
"manu",1
"manual",1
"mark",1
"market",0.888879778234904
"matter",1
"maximum",1.41667416481242
"may",1
"mayb",1
"mean",1
"meant",1
"meantim",1
"mechan",1
"media",1
"meet",3.62170059218892
"mei",1.86157687445811
"member",1
"membership",1
"memori",1.2118391353055
"mention",1
"menu",1
"menus",1
"mess",1
"messag",1
"method",20.353366809778
"micro",1
"microsoft",1
"midway",1
"might",0.579229809587706
"migrat",0.706625968981564
"min",0.869468295912458
"mind",1
"minim",1
"minut",1
"miss",1
"mistak",1
"mix",1
"mobil",1
"mode",1
"model",1
"modifi",1
"moment",1
"monday",1
"money",0.825618135314765
"month",1
"moreov",1.80171289577344
"morn",1
"most",1
"motiv",1
"motorola",1
"mouth",1
"move",1
"much",1
"multipl",1
"music",1
"must",1
"mute",0.670432013867954
"myam",1
"name",1
"nativ",1
"natur",1
"navig",1
"near",2.54273898375927
"neat",3.96403947158648
"necess",0.639320700334734
"necessari",1
"need",0.915822684166578
"negat",1
"neither",1
"network",0.933451022956367
"never",1
"new",1
"newer",1
"newest",1
"`next`",0.447510826657273
"nextday",1.07779934759039
"nice",1
"night",1
"nine",1
"nois",1
"non",1
"none",1
"nonpremium",1
"nonpro",1
"nope",1
"normal",1
"note",1
"noth",0.980119182304405
"notic",1
"notif",0.70498489333479
"notifi",0.678850792354797
"now",0.606193623207896
"nowi",1
"number",1
"numer",1
"obvious",1
"occur",1
"odd",1
"offer",1
"offlin",1
"often",1
"okay",0.967640724991519
"old",1
"older",1
"one",1
"onetim",1
"ongo",1
"onlin",1
"onlyminut",1
"onto",1
"open",1
"opinion",1
"optim",1
"optimis",1
"option",1
"order",1
"organ",1
"organis",1.25017647901751
"orient",1.15524381843709
"origin",1
"other",1
"otherwis",1
"outsid",1
"over",1
"overal",1
"own",1.49990470161041
"page",1
"paicular",1
"paid",1
"pain",1
"pair",1
"pandem",1
"paper",1
"pass",0.654025519198746
"password",1
"past",1
"paus",1
"pay",1
"payment",1
"paywal",0.820172327191095
"pen",1
"peopl",1
"per",0.743963827598946
"perfect",1.01510846837561
"perform",1
"perhap",0.616571113094503
"period",1
"perman",1
"permiss",0.842821286042808
"person",1
"phone",1
"photo",1
"pick",1.04109183975796
"pictur",0.95893124201782
"piraci",1
"pirat",1
"place",1
"plan",1
"planner",1
"plant",0.913260998287059
"platform",1
"play",1
"playstor",0.622488791630342
"pleas",1
"plenti",0.546914356737961
"pls",1
"plus",1
"plz",1.27952600377298
"plzz",1
"point",1
"pointless",0.502030764477038
"polit",1
"pomodoro",1
"poor",1
"pop",1
"popular",1
"popup",0.854324934275851
"porait",1
"posit",1
"possibl",1
"post",1
"postpon",1
"potenti",1
"power",1
"practic",3.88648117740997
"prefer",1
"premium",0.836339717038381
"prepar",1
"press",1
"pretend",1
"pretti",1.06006754878788
"prevent",1
"previous",1
"price",1.09905635150672
"primari",0.504359037384861
"prior",1
"priorit",1
"prioriti",1
"privaci",1
"privat",1
"pro",0.631780527349611
"probabl",0.697543450003787
"problem",1
"process",1
"procrastin",1
"product",1.21162357415894
"profession",0.957072397189356
"profit",1
"program",1
"progress",1
"project",1
"prolimit",1
"promis",1
"promot",0.967124216776033
"prompt",1
"proper",0.857789734665857
"provid",1
"punch",1
"purchas",1
"purpos",1
"push",1
"put",1
"qualiti",1
"questionsif",3.05684041310534
"quick",1
"quit",1.95139430363624
"quiz",2.94579651322499
"random",1
"rang",1
"rare",1
"rate",1
"rather",1
"reach",1
"read",1
"readi",1
"real",1
"reali",1
"realis",2.26834745501123
"realiz",1
"realli",1.37877195628187
"rearrang",1.14972036546721
"reason",1
"reccomend",1
"receiv",1
"recent",0.498750800794793
"recommend",2.21230511626923
"record",1
"recov",1
"rectifi",1
"recur",0.968325786224501
"recurr",1
"red",1.25919984390614
"redeem",1
"redownload",1
"reduc",1
"referr",1
"reflect",1
"refresh",1
"refund",1
"refus",1
"regard",1
"regardless",1
"regist",1
"regret",1
"regular",1
"reinstal",1
"relat",1
"reli",1.09584100748873
"remain",1
"rememb",2.41882257431476
"remind",0.833631975552132
"remov",1
"renam",0.752169725325266
"render",1
"renew",1
"reoccur",0.876397757564865
"reorder",0.599301671457569
"`repeat`",1
"repetit",9.62527239583078
"replac",1
"repli",1
"repo",1.03012740926643
"repres",1
"request",1
"requir",1
"rerat",1.12787822081171
"reset",1
"resolv",1
"resourc",1
"respect",1
"respond",1
"respons",1
"rest",1
"resta",1
"restor",1
"restrict",1
"result",1
"resum",1
"return",1
"reve",1
"revenu",1
"review",1
"revis",8.3282186332202
"reward",0.736296110918723
"rich",1
"rid",1
"ridicul",1
"right",0.636531702173231
"ring",1
"rington",1
"risk",1
"rlli",1
"roll",1
"room",1
"rotat",1
"rough",1
"routin",1
"row",0.672559685937571
"rubbish",1
"ruin",0.161180675922331
"rule",1
"run",1.26296280043452
"sad",1
"said",1
"samsung",1
"satisfact",4.91913685270699
"satisfi",0.876635795033696
"save",1
"saver",1
"saw",1
"say",0.580688399770069
"saysi",1
"scam",1
"schedul",1
"scheme",1
"school",1
"screen",0.877668403832224
"screenshot",1
"scroll",2.88992039294411
"search",1
"second",1
"section",1
"secur",1
"see",1
"seekech",1
"seem",0.54029318051066
"seen",1
"select",1
"sell",1
"send",1
"sens",1
"sent",1
"separ",1.06960422246525
"seper",1
"seri",1
"serious",1
"server",1
"servic",1
"session",1
"set",1
"setup",0.531593042873817
"sever",0.870757841566437
"shame",1
"share",1
"shift",0.567382281483052
"sho",1.10869107878435
"shoe",0.99545024280641
"shoot",1
"shop",1
"shoppinglist",1
"shouldnt",0.781888136481501
"shouldv",1
"show",1
"shown",1
"shut",1
"sick",0.512288240390491
"side",1
"sign",1
"silent",1
"similar",0.658493622325237
"simpl",1
"simpli",0.6757347591203
"simplic",0.872099892216645
"sinc",1
"singl",1
"sir",1
"sister",1
"sit",0.684439369133145
"sketchi",1
"skill",1
"skin",1
"slot",0.552018467233501
"slow",1
"slowli",1
"sma",1
"small",1
"smaphon",1
"sms",0.971266919213162
"snooz",1
"snow",1
"social",1
"softwar",1
"sole",1
"solut",1
"solv",1
"someday",1
"somehow",0.903870415937226
"someon",1
"someth",1
"sometim",1
"song",1
"soo",1
"soon",1
"sooo",1
"sooth",1
"sorri",0.363087616887884
"sound",1
"soundth",1
"space",1
"spam",1
"speak",1
"speci",0.640386287496969
"special",1
"specif",1
"spend",0.686015623708438
"spent",1
"sta",1
"staff",1
"stand",1.01051045525342
"standard",1
"star",1
"stare",1
"stas",1
"stat",1
"state",1
"statist",1
"status",1
"stay",1.39366985905864
"steal",1
"step",1
"stick",1
"sticki",1
"still",1
"stop",0.632564090185959
"stopwatch",1.25679549807236
"storag",1
"store",1
"straightforward",1
"strike",1
"strip",1
"strong",1
"structur",1
"struggl",1
"stuck",1
"student",1.33817259453277
"studi",1.09082596183864
"stuff",1
"stupid",1
"style",0.733133524253821
"sub",0.60426866676963
"subscrib",0.731393156321054
"subscript",1
"subtask",1.11213227894629
"success",1
"suck",0.184712643242614
"sudden",1
"suggest",1.21213338163731
"suit",1
"super",1.31537873794867
"suppo",0.415861196447194
"suppos",1
"sure",1
"surpris",1
"sweet",1
"swipe",1
"switch",1
"sync",1
"synchron",1
"system",1
"tab",1
"tablet",1
"tag",1
"take",1
"taken",1
"talk",1
"tap",1
"task",1
"tast",1
"tbh",1
"team",1.51878935801523
"tech",1
"technic",1
"teenag",1
"tell",1
"term",1
"terribl",0.60636944696205
"test",0.785927207126994
"text",1
"thank",1.6516348049913
"that",1
"theme",1
"there",0.695650100785801
"therefor",0.969455365198215
"thestar",1
"theyll",1
"theyr",1
"theyv",1
"thing",1
"think",1
"third",1
"thisi",1
"thisso",0.131895102635009
"tho",2.08093189229429
"thorough",1
"though",1
"thought",1
"thousand",1
"three",0.977527363186629
"throughout",1
"thru",1
"thus",1
"tick",1
"till",1
"time",0.992899942436397
"timer",1
"tini",1
"titl",1.0352451034977
"today",1
"todo",1
"todoist",0.716423825690412
"togeth",1
"toggl",1
"told",1
"tomorrow",1
"ton",1
"tone",0.913203007710698
"took",0.445752490126457
"tool",1
"top",1
"topic",1
"tostar",1
"total",1
"touch",1
"toward",1
"track",1
"trade",0.866959073516163
"transact",1
"transpar",1
"trash",1
"tree",0.716346201178718
"tress",1
"tri",0.958569672833894
"trial",1
"trick",1
"troubl",1
"true",1
"truli",1.06055358818394
"trust",0.498529770282965
"turn",0.773908421692573
"tutori",1
"tweak",1.76846120607772
"twice",1
"twilight",1
"two",1
"type",1
"unabl",0.635703242066689
"unaccept",1
"unavail",1
"uncomfo",1
"understand",1
"undon",1
"unfair",1
"unfoun",0.731721970155444
"uni",1
"uninstal",0.356982478916749
"uniqu",1
"unistal",1
"unless",0.575541797498838
"unlock",1
"unmotiv",1
"unnecessari",1
"unpaid",1
"unpleas",1
"unreli",1
"unsubscrib",1
"unus",1
"upcom",1
"updat",0.606831102336558
"updateth",1
"upgrad",1
"upit",1
"upset",1
"usabl",1
"usag",1.76406625117702
"use",1
"useless",1
"user",1
"userfriend",2.87239863160539
"usual",1
"util",1
"vanish",1
"varieti",1
"various",2.48673202622512
"ver",1
"version",0.992377808310523
"versioni",1
"via",1
"vibrat",1
"video",1
"view",1
"visual",1
"voic",1
"voila",1
"volum",1
"wait",1
"wall",1
"wanna",1
"want",1
"warn",1
"wasnt",1
"wast",1
"watch",0.796614576873245
"water",3.9592355942659
"way",1
"web",1
"websit",0.794695787414262
"wednesday",1
"week",1
"weird",1.1085082320478
"well",1.17400958036918
"went",1
"werent",1
"what",1
"whatev",1
"whatsapp",1.18539896499031
"whatsoev",0.522926289102116
"whenev",1
"whether",1
"white",1
"whitelist",1
"whitenois",1
"whole",1
"wide",1
"widget",1
"wife",1
"will",1
"window",1
"wipe",1
"wise",1.15956458094704
"wish",2.57651196897545
"wither",1
"withid",1
"within",1
"without",0.939451791803445
"woh",1.00519208647183
"woke",1
"wonder",1
"wont",0.83114277196621
"word",3.33195094176115
"work",1
"workout",1
"world",1
"wors",1
"worst",1
"wouldnt",1
"wow",1
"write",2.03265077586262
"written",1
"wrong",1
"wunderlist",1
"year",0.873850827971465
"yes",1
"yesterday",0.797452491736763
"yet",1
"youd",1
"youll",1
"your",0.517233867379487
"youtub",0.934028413474919
"youv",1
"zapier",1
"zero",1
"zoom",1
